tactic,technique_id,technique,audit_category,audit_sub_category,event_id,message
Lateral Movement,T1021,Remote Services,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1021,Remote Services,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1021,Remote Services,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1021,Remote Services,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1021,Remote Services,Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
Lateral Movement,T1021,Remote Services,Object Access,File Share,5140,A network share object was accessed.
Lateral Movement,T1021,Remote Services,Object Access,Detailed File Share,5145,A network share object was checked to see whether the client can be granted desired access.
Lateral Movement,T1021,Remote Services,Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
Lateral Movement,T1021,Remote Services,Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
Lateral Movement,T1021,Remote Services,Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.
Lateral Movement,T1021,Remote Services,Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.
Lateral Movement,T1021,Remote Services,Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.
Lateral Movement,T1021,Remote Services,Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.
Lateral Movement,T1021.001,Remote Desktop Protocol,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1021.001,Remote Desktop Protocol,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1021.001,Remote Desktop Protocol,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1021.001,Remote Desktop Protocol,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1021.001,Remote Desktop Protocol,Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
Lateral Movement,T1021.001,Remote Desktop Protocol,Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
